AcctNumber,AcctName,AcctType,sort,OTrate
D001,Witholding Tax,D,15,1
D002,SSS Premium,D,16,1
D003,Phil. Health Premium,D,17,1
D004,Pagibig Premium,D,18,1
D005,SSS Loan            ,D,999,1
D006,HDMF Loan           ,D,999,1
D007,Pagibig Loan,D,999,1
D008,Housing Loan        ,D,999,1
D009,Extra Uniform,D,999,1
D010,Surety Bond         ,D,999,1
D011,COOP Membership     ,D,999,1
D012,Cash Advances,D,999,1
D013,Extra Paraphernalia,D,999,1
D014,GEMCO Coop Hospitalization Aid,D,999,1
D015,GEMCO Coop Death Aid,D,999,1
D016,Neuro Exam          ,D,999,1
D017,Drug Test           ,D,999,1
D018,Medical/consultation,D,999,1
D019,ID                  ,D,999,1
D020,Personal Loan - RTC,D,999,1
D021,shoes,D,999,1
D022,License Verification,D,999,1
D023,Tel.Bill            ,D,999,1
D024,Insurance           ,D,999,1
D025,Others,D,999,1
D026,Extra Paraph. - Namecloth Patch,D,999,1
D027,Extra Paraph. - PADPAO Patch,D,999,1
D028,Extra Paraph. - Agency Shoulder Patch,D,999,1
D029,Extra Paraph. - Collar Pin(Regular),D,999,1
D030,Extra Paraph. - Collar Pin(Officer),D,999,1
D031,Extra Paraph. - Pershing Cap,D,999,1
D032,Extra Paraph. - Womens Cap,D,999,1
D033,Extra Paraph. - Buckle,D,999,1
D034,Extra Paraph. - Belt Set,D,999,1
D035,Extra Paraph. - ID Strap /  ID Holder,D,999,1
D036,Extra Paraph. - Flashlight only,D,999,1
D037,Extra Paraph. - Flashlight Holder,D,999,1
D038,Extra Paraph. - Necktie,D,999,1
D039,Necktie Pin,D,999,1
D040,Extra Paraph. - Nightstick,D,999,1
D041,Extra Paraph. - Nightstick Holder,D,999,1
D042,Extra PPE - Raincoat(Poncho),D,999,1
D043,Extra PPE - Rain Boots,D,999,1
D044,Extra Uniform - Barong Set,D,999,1
D045,Extra Paraph. - Whistle,D,999,1
D046,Shuttle,D,999,1
D047,Canteen,D,999,1
D048,GEMCO Coop Membership,D,999,1
D049,TAX DEFICIT,D,999,1
D050,Extra Uniform - Barong,D,999,1
D051,Extra Uniform - Pants,D,999,1
D052,Extra Uniform - Upper TYPE A,D,999,1
D053,battery,D,999,1
D054,Extra Uniform - Blazer Set,D,999,1
D055,Extra Uniform - Blazer,D,999,1
D056,Holster,D,999,1
D057,GEMCO Coop Products,D,999,1
D058,rice,D,999,1
D059,birthday gift,D,999,1
D060,padpao raffle,D,999,1
D061,Extra Paraph. - Patches,D,999,1
D062,in-plnt shoes,D,999,1
D063,raincoats/rainboots,D,999,1
D064,flu vaccination,D,999,1
D065,medicines,D,999,1
D066,first aid med kit,D,999,1
D067,nuero and drug test,D,999,1
D068,polygraph exam,D,999,1
D069,GEMCO Coop Savings,D,999,1
D070,working permit,D,999,1
D071,sagsd penalty,D,999,1
D072,Voluntary Additional Insurance,D,999,1
D073,salary adj,D,999,1
D074,Extra Paraph. - Lanyard,D,999,1
D075,Over Pymnt MA (Nov. 1-15),D,999,1
D076,e-load,D,999,1
D077,Name Cloth,D,999,1
D078,GEMCO Coop Loans,D,999,1
D079,Extra PPE - Hardhat,D,999,1
D080,Extra PPE - Spectacles/Goggles,D,999,1
D081,Extra Paraph. - Badge,D,999,1
D082,Earpiece,D,999,1
D083,RLM,D,999,1
D084,headphone,D,999,1
D085,SSS Condonation,D,999,1
D086,GEMCO Coop Cellphone,D,999,1
D087,medical,D,999,1
D088,Extra Uniform - Safety Shoes,D,999,1
D089,Liver Profile,D,999,1
D090,Contractual Penalty,D,999,1
D091,Payment for barracks,D,999,1
D092,Late,D,999,1
D093,barracks rental,D,999,1
D094,Extra Uniform - Agency Poloshirt,D,999,1
D095,Extra PPE - Traffic Vest,D,999,1
D096,Hospitalization Assistance,D,999,1
D097,firearms repair,D,999,1
D098,donations,D,999,1
D099,GEMCO Coop Hospitalzation Aid Membership,D,999,1
D100,Tondo Children Donation,D,999,1
D101,Air fare,D,999,1
D102,HDMF Calamity Loan,D,999,1
D103,Vaccination,D,999,1
D104,X-Ray,D,999,1
D105,Touch Checker Repair,D,999,1
D106,Annual Physical Examination,D,999,1
